2026-06-04 13:04:47 | TicketSoporte | TK-001 | atender | Abierto -> En proceso
2026-06-04 13:04:47 | TicketSoporte | TK-001 | atender | Abierto -> En proceso
2026-06-04 13:04:47 | TicketDesarrollo | TK002 | atender | Abierto -> En proceso
2026-06-04 13:04:47 | TicketDesarrollo | TK002 | atender | Abierto -> En proceso
2026-06-04 13:04:47 | TicketInfraestructura | TK-003 | atender | Abierto -> En proceso
2026-06-04 13:04:47 | TicketInfraestructura | TK-003 | atender | Abierto -> En proceso
2026-06-04 13:04:47 | TicketSoporte | TK004 | atender | Abierto -> En proceso
2026-06-04 13:04:47 | TicketSoporte | TK004 | atender | Abierto -> En proceso
2026-06-04 13:04:47 | TicketDesarrollo | TK-005 | atender | Abierto -> En proceso
2026-06-04 13:04:47 | TicketDesarrollo | TK-005 | atender | Abierto -> En proceso
2026-06-04 13:04:47 | TicketDesarrollo | TK002 | cambiar_estado | En proceso -> Cerrado
2026-06-04 13:04:47 | TicketSoporte | TK-001 | cerrar | En proceso -> Cerrado
2026-06-04 13:05:24 | TicketSoporte | TK-001 | atender | Abierto -> En proceso
2026-06-04 13:05:24 | TicketSoporte | TK-001 | atender | Abierto -> En proceso
2026-06-04 13:05:24 | TicketDesarrollo | TK002 | atender | Abierto -> En proceso
2026-06-04 13:05:24 | TicketDesarrollo | TK002 | atender | Abierto -> En proceso
2026-06-04 13:05:24 | TicketInfraestructura | TK-003 | atender | Abierto -> En proceso
2026-06-04 13:05:24 | TicketInfraestructura | TK-003 | atender | Abierto -> En proceso
2026-06-04 13:05:24 | TicketSoporte | TK004 | atender | Abierto -> En proceso
2026-06-04 13:05:24 | TicketSoporte | TK004 | atender | Abierto -> En proceso
2026-06-04 13:05:24 | TicketDesarrollo | TK-005 | atender | Abierto -> En proceso
2026-06-04 13:05:24 | TicketDesarrollo | TK-005 | atender | Abierto -> En proceso
2026-06-04 13:05:24 | TicketDesarrollo | TK002 | cambiar_estado | En proceso -> Cerrado
2026-06-04 13:05:24 | TicketSoporte | TK-001 | cerrar | En proceso -> Cerrado
